Repository,Forks,Total Issues,Closed Issues,Open PRs,Closed PRs,Merged PRs,Total Commits,Max Days Without Commit,Most Active Dev Commits,Contributors,Owner Projects,Owner Commits,Archived
swagger-api/swagger-ui,8923,9764,8564,72,4194,3157,6559,118,1048,391,0,0,Active
eslint/eslint,4510,17815,17712,13,7516,6186,9745,122,2512,416,0,0,Active
sampotts/plyr,2923,2631,1729,35,514,384,2297,452,1703,176,0,943,Active
PHPMailer/PHPMailer,9719,2798,2753,11,737,477,2433,425,1096,257,0,0,Active
minio/minio,5430,18283,18256,7,10841,9649,12277,107,5631,420,0,0,Active
tj/commander.js,1689,2239,2223,2,1159,748,1346,634,518,159,0,183,Active
pyenv/pyenv,3025,2860,2792,9,1075,885,3332,371,551,396,0,0,Active
Kotlin/anko,1287,766,523,6,143,100,1064,279,811,69,0,0,Active
equinusocio/material-theme,789,1287,1287,0,178,131,12,0,12,1,0,0,Active
playframework/playframework,4093,12643,12190,59,8823,7061,13817,1299,2010,374,0,0,Active
facebook/rocksdb,6291,12800,11761,391,9204,603,12931,152,1096,299,0,0,Active
maxwellito/vivus,1133,248,228,0,42,31,174,585,144,22,0,110,Active
encode/django-rest-framework,6813,8661,8569,40,4707,2968,8824,896,3942,387,0,0,Active
scala/scala,3119,10806,10784,22,10784,8379,39876,2136,4196,361,0,0,Active
Automattic/wp-calypso,1982,93760,87932,668,61770,54410,70369,971,2508,344,4,0,Active
labstack/echo,2214,2392,2320,22,954,569,1744,168,1066,260,0,0,Active
kangax/fabric.js,3498,9116,8679,67,3002,2190,5032,123,1469,275,0,0,Active
PowerShell/PowerShell,7235,21095,20090,121,8586,7018,10756,175,1484,380,1,0,Active
revel/revel,1386,1572,1472,11,587,394,1645,689,510,125,0,0,Active
svg/svgo,1386,2071,1833,46,778,559,1535,664,364,197,0,0,Active
erikras/redux-form,1635,4784,4291,20,1031,778,2066,372,1275,346,0,0,Active
google/flatbuffers,3231,4953,4780,73,2478,1865,3112,469,811,432,0,0,Active
dotnet/coreclr,2664,18208,18208,0,18208,15938,4,55,2,3,11,0,Active
mxcl/PromiseKit,1454,1316,1300,5,446,326,1544,396,1085,133,0,1093,Active
chmln/flatpickr,1456,2860,2051,121,560,399,2867,674,2182,225,0,0,Active
mikepenz/MaterialDrawer,2050,2802,2794,2,270,227,2523,193,2308,98,0,2308,Active
metabase/metabase,5076,48175,44012,301,27837,24485,32904,573,4145,379,2,0,Active
fgnass/spin.js,1021,393,379,4,84,36,327,1096,216,27,0,213,Active
realm/SwiftLint,2219,5790,5355,67,3123,2590,6763,1231,2422,381,0,0,Active
aria2/aria2,3572,2218,1133,48,322,252,5435,805,4987,66,0,0,Active
slimphp/Slim,1948,3311,3301,1,1633,999,4520,386,1284,220,0,0,Active
explosion/spaCy,4363,9660,9516,20,3999,3571,16203,383,6229,393,0,0,Active
lerna/lerna,2249,3979,3600,7,1345,966,2789,321,1485,325,0,0,Active
docker/kitematic,1411,5808,4841,44,490,413,2335,269,1167,86,2,0,Active
gaearon/react-hot-loader,801,1918,1453,347,608,421,1890,589,577,213,0,564,Active
bazelbuild/bazel,4034,22903,20894,270,8694,1438,41029,367,10321,287,0,0,Active
NodeBB/NodeBB,2780,12743,12567,31,4688,3867,27791,560,6206,203,0,0,Active
Moya/Moya,1982,2350,2171,21,976,795,3471,265,699,219,0,0,Active
mishoo/UglifyJS2,1247,5932,5898,13,3012,2590,3389,901,2301,116,0,590,Active
piwik/piwik,2626,21839,19420,60,7895,6977,30013,364,4699,320,0,0,Active
websockets/ws,2422,2232,2227,0,718,497,1912,990,714,177,0,0,Active
Khan/KaTeX,1174,3716,3291,39,2080,1694,2157,147,557,155,0,0,Active
rancher/rancher,2952,46643,43643,105,12459,10214,12474,534,1652,270,0,0,Active
openzipkin/zipkin,3085,3721,3557,0,2391,1888,2952,649,1625,114,0,0,Active
mozilla-mobile/firefox-ios,2912,21908,19757,30,12959,11190,16233,285,1240,371,7,0,Active
jp9000/obs-studio,7861,10897,10096,253,6595,4860,14547,1264,4083,413,2,0,Active
fullcalendar/fullcalendar,3608,7765,6768,38,574,153,6449,739,5908,130,0,0,Active
tmuxinator/tmuxinator,626,923,819,1,410,287,888,1223,199,128,0,0,Active
ryanoasis/nerd-fonts,3635,1558,1520,9,560,489,2663,376,956,183,0,655,Active
facebook/nuclide,683,1620,1226,7,322,13,15238,10,1551,222,0,0,Active
FineUploader/fine-uploader,1873,2068,1946,6,371,156,3645,134,2601,92,0,0,Active
cakephp/cakephp,3428,17846,17783,8,11230,9149,47573,585,10276,351,0,0,Active
ShareX/ShareX,3170,7558,6991,7,1089,739,8017,32,6401,222,0,0,Active
v2ray/v2ray-core,8945,3196,3182,1,622,203,5389,709,2693,83,0,0,Active
boot2docker/boot2docker,1289,1410,1075,9,529,406,1367,174,622,123,0,0,Active
gabrielbull/react-desktop,462,168,132,2,70,61,527,292,402,22,0,402,Active
portainer/portainer,2451,11153,10511,174,5331,4768,4880,105,1234,215,0,0,Active
marionettejs/backbone.marionette,1262,3721,3683,3,1937,1159,3395,438,1330,317,0,0,Active
google/cadvisor,2312,3582,2818,66,1976,1619,3609,613,554,311,0,0,Active
giakki/uncss,402,497,442,10,186,142,659,922,271,38,0,0,Active
casperjs/casperjs,983,569,569,0,569,400,2226,320,1320,163,0,0,Active
brave/browser-laptop,974,15337,15039,0,3664,3122,9443,312,2880,176,3,0,Active
dotnet/core,4890,8238,7920,5,2171,1954,4464,155,1490,340,11,0,Active
radare/radare2,2981,22946,22076,26,14466,11547,32567,606,16608,353,0,0,Active
BoostIO/Boostnote,1467,3711,3208,65,1300,1074,4730,369,540,217,0,0,Active
Hearst-DD/ObjectMapper,1031,1147,1080,12,325,247,1077,1367,685,100,0,674,Active
ether/etherpad-lite,2842,6582,6463,9,3426,2674,8938,2132,2404,281,0,0,Active
xbmc/xbmc,6286,25724,24825,212,21221,17851,66752,1725,3058,246,0,0,Active
aspnet/Home,9959,53620,50121,103,18693,16209,54117,435,5692,340,11,0,Active
Microsoft/ChakraCore,1196,6952,6350,31,4718,4093,13067,506,1304,147,0,0,Active
dularion/streama,986,1136,791,6,215,178,1850,1124,887,78,0,0,Active
reactioncommerce/reaction,2169,6696,6590,17,3123,2585,21659,229,3518,167,1,0,Active
googlei18n/libphonenumber,2043,2189,2137,52,2137,1286,2282,131,323,134,0,0,Active
facebook/chisel,804,306,259,6,161,120,464,378,183,50,0,0,Active
aksonov/react-native-router-flux,2112,3844,3506,57,680,511,1431,145,433,236,0,286,Active
catchorg/Catch2,3043,2898,2478,30,978,641,4538,574,1979,369,0,0,Active
SBoudrias/Inquirer.js,1297,1538,1491,4,663,492,1578,126,1137,203,0,1136,Active
addyosmani/critical,372,598,560,1,240,183,727,218,414,32,0,106,Active
RaRe-Technologies/gensim,4374,3557,3147,26,1682,1218,4534,356,958,396,0,1491,Active
vuejs-templates/webpack,4385,1530,1350,55,508,253,557,202,168,135,0,0,Active
dropwizard/dropwizard,3440,9152,9138,6,7571,6113,8470,250,1866,356,0,0,Active
Masterminds/glide,541,1090,689,30,248,195,1093,333,722,66,0,0,Active
showdownjs/showdown,1563,1008,794,9,282,140,916,1164,349,74,0,0,Active
lipangit/JiaoZiVideoPlayer,2418,2734,2459,7,65,41,1858,89,1536,23,0,72,Active
overtrue/wechat,2401,2668,2667,0,1380,1083,2252,48,1023,167,0,0,Active
robb/Cartography,526,336,268,7,136,102,513,272,330,43,0,330,Active
micropython/micropython,7671,11742,10115,365,5973,2025,16295,1637,7570,407,0,0,Active
OnsenUI/OnsenUI,1013,3076,3063,10,1237,1070,10019,1110,2348,106,0,0,Active
hankcs/HanLP,10043,1543,1530,4,130,78,1761,373,1650,36,0,1654,Active
zulip/zulip,7714,31792,29322,811,21755,12121,60940,1291,10430,391,1,0,Active
askmike/gekko,3949,2880,2880,0,790,532,2613,814,1691,179,0,1691,Active
node-nock/nock,736,2615,2543,26,1505,1100,2179,504,741,242,0,0,Active
walkor/Workerman,2260,1020,933,8,381,264,2019,75,1503,94,0,1506,Active
mediaelement/mediaelement,1578,2965,2762,14,715,532,4903,918,1666,238,0,0,Active
ethereum/mist,2121,3888,3104,5,771,578,2049,74,496,63,1,0,Active
facebook/facebook-ios-sdk,3539,2294,2087,10,918,66,4511,403,792,141,0,0,Active
Microsoft/WinObjC,809,2949,2558,10,1110,1018,3544,992,277,69,8,0,Active
google/brotli,1238,1187,1112,16,756,579,1205,200,282,99,0,0,Active
utatti/perfect-scrollbar,1619,1353,1252,1,725,508,1732,345,287,122,0,0,Active
aspnet/EntityFrameworkCore,3165,34358,32121,40,12547,10895,15870,762,2064,345,11,0,Active
facebook/buck,1160,2682,2455,23,1177,114,22696,358,1790,286,0,0,Active
naver/pinpoint,3749,11511,11059,62,7132,6571,14101,732,3559,116,0,0,Active
dropwizard/metrics,1811,4438,4431,5,3778,2857,3923,846,1330,205,0,0,Active
bpampuch/pdfmake,2036,2791,2475,29,245,145,1455,262,859,83,0,148,Active
nikic/PHP-Parser,1094,1029,991,5,410,222,1717,487,1028,126,0,1360,Active
darknessomi/musicbox,1580,961,724,13,261,203,615,352,246,52,0,278,Active
go-gitea/gitea,5428,31957,29241,235,18152,16212,18488,89,1717,400,0,0,Active
notepad-plus-plus/notepad-plus-plus,4581,14591,12140,11,4250,93,6014,2795,1773,368,0,0,Active
quasarframework/quasar,3504,12455,11859,106,4557,3608,14427,53,10099,442,0,0,Active
gentilkiwi/mimikatz,3704,449,275,33,33,10,347,307,331,9,0,331,Active
trello/RxLifecycle,638,338,334,0,157,131,340,262,157,16,0,0,Active
wagtail/wagtail,3808,12030,11034,139,6849,3823,17940,2209,5890,340,0,0,Active
AutoMapper/AutoMapper,1750,4084,4083,1,1046,700,4213,310,2018,151,0,0,Active
rt2zz/redux-persist,866,1474,878,79,344,234,814,379,219,134,0,547,Active
puma/puma,1425,3423,3323,39,1707,1392,4064,1013,1025,401,0,0,Active
trufflesuite/truffle,2317,5904,5376,20,2958,2448,16047,663,3363,237,2,0,Active
ustbhuangyi/better-scroll,2607,1364,1302,5,207,154,2001,288,546,36,0,659,Active
filamentgroup/loadCSS,534,334,334,0,165,72,313,880,230,28,0,0,Active
OpenRefine/OpenRefine,1948,6843,6179,22,3707,3065,8330,747,1733,325,0,0,Active
aspnet/Mvc,2139,8637,8637,0,3459,1673,4596,434,1023,138,1,0,Active
grpc/grpc-go,4353,7685,7527,22,5030,4145,5189,69,895,431,0,0,Active
angular-ui/ui-grid,2465,7312,6583,3,1942,1408,4396,739,718,328,0,0,Active
PrismJS/prism,1293,3675,3264,64,1943,1662,3604,488,1207,358,0,0,Active
AudioKit/AudioKit,1554,2921,2897,3,1528,1364,12435,128,6679,184,0,0,Active
google/google-api-php-client,3521,2541,2477,9,741,497,1847,161,1057,155,3,0,Active
laradock/laradock,4424,3555,3397,37,1595,1231,3334,176,695,387,0,0,Active
pallets/jinja,1610,1966,1846,42,892,605,2842,785,1299,267,0,0,Active
weaveworks/weave,668,3905,3376,18,1627,1370,7293,1000,2207,78,0,0,Active
Netflix/eureka,3740,1516,1414,21,851,756,1705,4222,457,103,0,0,Active
filamentgroup/tablesaw,434,391,391,0,104,35,569,1310,492,22,0,0,Active
openresty/openresty,1534,1009,719,8,224,126,1729,309,828,32,1,0,Active
openresty/openresty,1534,1009,719,8,224,126,1729,309,828,32,1,0,Active
electron-userland/electron-packager,17,1765,1719,6,866,545,1356,198,781,80,0,0,Active
sosedoff/pgweb,724,752,728,6,357,270,1271,129,1134,51,0,1134,Active
aio-libs/aiohttp,2003,9166,8867,58,6139,4997,10746,1184,4425,421,0,0,Active
jupyterlab/jupyterlab,3342,16747,14237,84,8173,7360,26156,635,8262,362,1,0,Active
sass/node-sass,1325,3392,3204,42,982,671,2547,931,597,178,3,0,Active
reactjs/react-rails,758,1328,1310,1,612,462,1506,1006,392,148,0,0,Active
top-think/think,1622,1144,1016,1,298,181,2057,383,1192,39,0,0,Active
swagger-api/swagger-core,2174,4738,3922,68,1749,1343,4317,1021,1728,232,0,0,Active
sameersbn/docker-gitlab,2138,3013,2460,9,1287,1023,3890,693,1661,199,0,89,Active
moxiecode/plupload,1427,1657,1452,2,204,65,1186,1241,747,52,0,0,Active
bookshelf/bookshelf,571,2127,1891,13,558,418,1904,115,570,151,0,0,Active
icsharpcode/ILSpy,3337,3175,2953,6,766,565,7843,1215,3616,123,0,0,Active
harelba/q,421,333,215,23,85,46,405,502,373,20,0,373,Active
kubernetes/helm,7089,13294,12597,379,5095,3686,7621,877,1143,370,0,0,Active
kubernetes/kops,4644,16857,16695,20,11690,10253,21723,526,5529,377,31,0,Active
RPCS3/rpcs3,1906,15616,14586,32,7677,6905,17018,1241,3475,284,0,0,Active
influxdata/telegraf,5561,15934,15624,26,8116,6125,9077,208,1977,418,2,0,Active
alrra/browser-logos,388,220,213,2,97,12,3918,173,3835,24,0,3838,Active
fabiolb/fabio,616,955,708,16,267,196,1224,994,721,90,0,0,Active
purescript/purescript,563,4537,4241,26,2150,1812,4415,99,2063,186,1,0,Active
banchichen/TZImagePickerController,1860,1696,1638,13,166,90,750,228,174,49,0,599,Active
SocketCluster/socketcluster,314,593,503,3,58,37,1329,377,1051,24,0,0,Active
dompdf/dompdf,1791,3298,2735,33,582,391,1814,853,539,132,0,0,Active
electron-userland/electron-builder,1736,8433,8063,10,1734,1334,3167,68,1502,443,0,0,Active
MagicStack/uvloop,538,631,518,17,256,179,947,400,771,63,0,0,Active
lipis/flag-icon-css,1848,1281,1261,0,687,524,1145,118,398,82,0,599,Active
kivy/python-for-android,1844,3055,2798,55,1551,1277,3815,916,1317,225,1,0,Active
Maximus5/ConEmu,573,2565,1525,3,123,34,7647,1701,7299,46,0,7303,Active
doctrine/doctrine2,2511,11319,9808,304,4772,3382,14554,1800,1819,315,2,0,Active
ant-design/ant-design-mobile,2393,6462,6239,37,1963,1521,7712,304,980,268,0,0,Active
julienXX/terminal-notifier,330,307,263,6,47,34,179,1276,67,31,0,49,Active
kickstarter/android-oss,989,2144,2133,5,2062,1957,5355,102,1649,36,0,0,Active
commonsguy/cw-omnibus,3781,20,20,0,20,3,1078,180,1075,4,0,1038,Active
SoftEtherVPN/SoftEtherVPN,2580,1916,1672,8,816,739,2047,556,650,106,0,0,Active
bobthecow/psysh,310,823,778,10,348,231,2097,1351,1672,82,0,1671,Active
sockeqwe/mosby,841,344,317,3,78,69,604,487,517,37,0,536,Active
shadowsocks/shadowsocks-qt5,2330,814,739,1,25,19,688,431,512,13,0,0,Active
inorganik/countUp.js,1379,324,314,2,130,101,455,179,265,42,0,304,Active
angular-translate/angular-translate,1044,1918,1882,0,503,140,1505,865,553,128,0,0,Active
DevExpress/testcafe,671,8152,8119,3,3390,3002,3472,98,567,107,0,0,Active
visualfc/liteide,970,1298,901,2,173,148,2811,199,2506,79,0,2538,Active
Microsoft/react-native-code-push,1463,2756,2746,2,935,724,1845,156,525,165,8,0,Active
BBC-News/wraith,357,630,506,23,232,174,793,310,195,57,2,0,Active
18F/web-design-standards,932,5878,5397,62,2678,2258,14872,223,2917,160,5,0,Active
aspnetboilerplate/aspnetboilerplate,3792,7031,6870,3,1354,1088,7664,679,2150,184,0,0,Active
openshift/origin,4696,29148,28936,92,20082,15685,37776,755,7842,355,1,0,Active
os-js/OS.js,818,821,802,1,198,146,65,187,63,3,0,0,Active
styleguidist/react-styleguidist,1436,2166,1927,140,905,649,2178,339,1402,228,0,0,Active
PostgresApp/PostgresApp,377,753,625,3,87,50,1837,461,759,48,0,0,Active
evernote/android-job,558,63,62,1,62,43,480,929,424,22,0,0,Active
hashcat/oclHashcat,2880,4043,3670,57,1915,1768,9563,332,3361,133,0,0,Active
nanomsg/nanomsg,1005,1111,1099,1,435,169,1671,462,1044,94,0,0,Active
kovidgoyal/calibre,2255,2455,2452,3,2452,2142,49828,1454,37969,319,0,37969,Active
clappr/clappr,849,2158,2143,8,647,473,12155,235,3720,102,0,0,Active
react-dropzone/react-dropzone,781,1310,1228,6,486,324,619,536,184,171,0,0,Active
Varying-Vagrant-Vagrants/VVV,847,2734,2621,6,1098,922,4133,296,1514,140,1,0,Active
graphite-project/graphite-web,1258,2852,2812,8,1637,1302,4358,1182,698,312,0,0,Active
cytoscape/cytoscape.js,1637,3186,3164,5,427,307,6093,167,3836,122,0,0,Active
hybridgroup/gobot,1039,1085,962,17,623,477,2925,1213,1221,135,0,0,Active
macvim-dev/macvim,683,1460,1285,6,534,497,30318,1148,21096,403,0,0,Active
ory/hydra,1488,3335,3226,21,1798,1492,3876,194,1331,274,2,0,Active
codecentric/spring-boot-admin,3073,3721,3692,3,2065,1801,3380,100,1541,148,0,0,Active
theintern/intern,310,1205,1066,11,282,60,1403,502,778,54,0,0,Active
strapi/strapi,7984,20549,19697,51,10683,8428,35373,352,3589,358,0,0,Active
aws/aws-sdk-js,1547,4443,4442,0,1191,910,6010,202,1777,192,0,0,Active
grpc/grpc-java,3832,11574,11062,50,7982,6918,6529,1212,1555,343,0,0,Active
Workiva/go-datastructures,834,231,201,13,174,158,725,776,286,46,0,0,Active
zsh-users/antigen,279,749,653,15,361,296,638,702,290,42,0,0,Active
ReactiveX/RxKotlin,454,248,216,9,130,90,265,1107,54,46,0,0,Active
semantic-release/semantic-release,1672,2932,2566,47,1442,1136,1577,259,401,223,0,0,Active
luin/ioredis,1193,1918,1575,38,451,344,1300,578,641,146,0,0,Active
snowplow/snowplow,1188,4455,4398,0,492,184,6749,699,2858,75,0,0,Active
davemorrissey/subsampling-scale-image-view,1201,584,537,4,58,30,351,661,257,20,0,303,Active
roots/bedrock,1164,733,716,7,477,328,745,127,208,77,0,0,Active
addyosmani/grunt-uncss,175,255,246,3,82,65,369,306,209,17,0,0,Active
apereo/cas,3924,4838,4836,2,4836,3947,25864,284,18575,307,0,0,Active
paritytech/parity,1685,11606,11445,31,6113,5575,12342,46,1673,211,0,0,Active
robolectric/robolectric,1365,9598,9078,108,6668,4523,14316,1010,1925,199,0,0,Active
limonte/sweetalert2,1612,2730,2719,0,1083,914,3231,100,2282,117,0,0,Active
aws/aws-sdk-go,2070,5171,5169,0,3314,2933,5487,199,1371,274,0,0,Active
restic/restic,1548,5071,4669,41,2390,2036,8524,1094,3967,374,0,0,Active
jupyter/notebook,4901,7381,5424,32,2426,2012,13565,620,1863,374,0,0,Active
primefaces/primeng,4562,16491,15230,32,3373,1875,16083,404,4300,355,0,0,Active
rabbitmq/rabbitmq-server,3906,10407,10143,42,8040,7197,57862,875,13696,263,0,0,Active
serge-rider/dbeaver,3424,23516,20897,43,5804,5089,26276,96,9471,303,0,0,Active
shardingjdbc/sharding-jdbc,6714,32921,32454,6,21683,20199,43899,38,8125,323,11,0,Active
ben-manes/caffeine,1589,1642,1638,0,927,602,2247,143,1593,57,0,1593,Active
garyburd/redigo,0,0,0,0,0,0,221,1312,172,32,0,172,Active
lbryio/lbry,483,3711,3315,16,1890,1535,9236,469,2664,87,0,0,Active
ag-grid/ag-grid,1857,8911,8839,45,2617,2122,41002,48,4124,135,0,0,Active
activemerchant/active_merchant,2498,5284,5108,113,4564,2088,6282,1083,393,321,0,0,Active
linkerd/linkerd,504,2436,2289,13,1363,1168,1433,300,383,102,1,0,Active
TooTallNate/Java-WebSocket,2578,1433,1388,11,382,301,1170,799,259,69,0,88,Active
sass/libsass,462,3184,3029,19,1374,1150,4196,460,1486,109,3,0,Active
k9mail/k-9,2483,8241,7359,6,3619,2805,14562,435,7579,268,0,0,Active
haifengl/smile,1126,787,777,0,175,110,4023,149,3628,51,0,3576,Active
video-dev/hls.js,2563,6670,6501,25,3756,3198,10684,446,1938,275,0,0,Active
App-vNext/Polly,1226,2293,2280,6,1503,1384,2231,267,545,103,0,0,Active
jisaacks/GitGutter,224,577,564,1,203,168,787,720,320,89,0,200,Active
malcommac/SwiftDate,767,821,728,21,248,183,1304,657,681,103,0,962,Active
PowerShell/Win32-OpenSSH,758,2219,1857,1,89,25,636,756,167,19,1,0,Active
artf/grapesjs,4050,4396,4375,7,679,516,6010,25,5330,173,0,0,Active
AliSoftware/OHHTTPStubs,601,368,310,14,144,97,785,475,401,58,0,459,Active
bolt/bolt,809,7934,7878,5,4454,4113,24359,496,7588,246,0,0,Active
thephpleague/oauth2-server,1116,1449,1350,33,680,424,3078,182,1759,135,0,0,Active
mesosphere/marathon,845,7274,7245,2,4002,3429,6969,1793,779,249,0,0,Active
chainer/chainer,1367,8632,8620,0,6588,5867,30611,506,3015,247,0,0,Active
mycolorway/simditor,803,120,102,18,102,63,706,1654,514,18,0,0,Active
mikepenz/Android-Iconics,617,640,633,1,179,165,1255,307,1078,42,0,1078,Active
zcash/zcash,2038,6907,5816,100,2974,2216,18367,2723,2898,328,0,0,Active
ealeksandrov/EAIntroView,501,227,207,0,67,33,258,770,201,26,0,201,Active
redfin/react-server,184,1045,879,38,693,588,2142,537,905,63,0,0,Active
wp-cli/wp-cli,975,5909,5746,13,3046,2623,5386,346,1831,198,0,0,Active
rqlite/rqlite,711,1888,1824,22,1336,1160,6916,227,6534,46,0,0,Active
react-cosmos/react-cosmos,347,1612,1606,1,1118,980,2211,194,1362,104,0,0,Active
23/resumable.js,612,628,440,41,200,158,500,633,207,87,0,0,Active
oklai/koala,522,856,457,3,43,25,412,490,177,16,0,246,Active
sbt/sbt,936,7571,6740,16,3280,2641,12066,797,2826,337,0,0,Active
webpack/webpack-dev-server,1429,5231,5198,15,3167,2216,2688,202,647,268,0,0,Active
Eloston/ungoogled-chromium,830,2744,2611,9,569,497,2235,428,1327,78,0,0,Active
n1nj4sec/pupy,1817,229,218,11,218,135,3490,932,2229,28,0,698,Active
borgbackup/borg,738,8224,7822,13,4074,3756,8760,1426,3504,291,0,0,Active
mstarke/MacPass,466,1301,1013,12,190,160,2663,140,1510,80,0,0,Active
invoiceninja/invoiceninja,2270,9574,8717,3,5453,5007,21494,30,14583,72,0,0,Active
NervanaSystems/neon,811,478,387,8,81,21,1118,432,164,74,0,0,Active
Kinto/kinto,421,3452,3342,4,2681,2311,8765,223,3350,119,0,0,Active
kartik-v/bootstrap-fileinput,2396,1867,1843,1,276,201,1302,146,1066,131,0,1066,Active
openlayers/openlayers,3028,16155,15449,75,9534,8406,34403,1087,6103,324,0,0,Active
Alluxio/alluxio,2934,18684,17658,394,16084,13727,34609,1168,4145,349,0,0,Active
socketio/engine.io,571,684,684,0,375,263,1193,233,641,106,0,0,Active
grpc-ecosystem/grpc-gateway,2233,4809,4658,21,3653,3196,3627,608,1493,367,0,0,Active
swagger-api/swagger-editor,2254,5201,4940,13,3190,2546,4874,105,1783,113,0,0,Active
NLPchina/elasticsearch-sql,1540,1264,942,0,276,95,1047,223,323,31,0,0,Active
mmistakes/minimal-mistakes,25461,3908,3883,5,2587,512,2840,653,2182,245,0,2185,Active
angular/angularfire2,2187,3432,3179,12,940,630,1041,145,297,209,0,0,Active
SwiftBond/Bond,359,709,657,7,247,180,1239,186,349,71,0,0,Active
Microsoft/vscode-go,648,3243,3243,0,778,611,1832,205,728,232,8,0,Active
playcanvas/engine,1342,6733,6175,19,4505,4084,11663,20,1375,127,0,0,Active
spotify/annoy,1163,666,606,5,263,234,894,342,599,66,1,0,Active
hyperium/hyper,1593,3570,3337,35,1778,1399,2827,231,1707,379,0,0,Active
go-chi/chi,982,924,856,16,386,247,766,181,472,141,0,0,Active
pixelsign/html5-device-mockups,405,90,74,6,34,28,190,344,118,12,0,27,Active
searchkit/searchkit,442,1365,1327,23,715,485,2258,232,1135,57,0,0,Active
pnpm/pnpm,989,7490,5820,67,3136,2269,9263,97,6165,275,0,0,Active
Microsoft/code-push,495,842,842,0,388,350,1058,224,209,54,8,0,Active
wdullaer/MaterialDateTimePicker,949,756,645,26,136,45,473,310,313,35,0,387,Active
jenssegers/laravel-mongodb,1425,2977,2843,7,1056,732,1893,479,665,174,0,0,Active
brigade/scss-lint,466,1007,940,0,333,118,1273,407,834,109,0,596,Active
qutebrowser/qutebrowser,1008,7760,6545,96,2137,1714,25190,758,18169,345,0,0,Active
GetmeUK/ContentTools,395,584,483,6,59,37,354,503,305,27,0,0,Active
insin/nwb,331,583,414,18,64,39,1167,784,1114,33,0,1123,Active
spatie/laravel-permission,1767,2177,2167,5,767,493,1692,181,811,205,0,0,Active
twitter/heron,597,3827,3417,35,2739,2440,3308,82,543,112,11,0,Active
JeffreySu/WeiXinMPSDK,4345,3077,2865,0,2082,1844,10644,40,4511,134,0,9191,Active
cockpit-project/cockpit,1099,20592,20152,48,14854,8920,22021,848,4767,195,0,0,Active
typelift/Swiftz,233,344,332,3,222,203,1152,341,720,41,0,0,Active
catfan/Medoo,1152,1096,1045,15,211,19,679,351,422,15,0,468,Active
sachinchoolur/lightGallery,1282,1545,1503,4,200,114,1180,541,754,61,0,980,Active
kangax/html-minifier,572,1148,1043,23,369,304,1291,909,364,76,0,388,Active
TykTechnologies/tyk,1082,6620,6295,167,4475,3686,4799,171,1113,100,0,0,Active
mqttjs/MQTT.js,1415,1876,1832,7,674,527,1659,276,570,196,0,0,Active
graphql-python/graphene,823,1562,1453,17,549,405,1779,222,1115,176,1,0,Active
grommet/grommet,1027,7342,7012,31,3876,3350,6848,29,1937,341,1,0,Active
aws/aws-sdk-php,1219,2931,2884,22,1364,1109,7672,133,2831,191,0,0,Active
socketio/socket.io-client-swift,844,1497,1257,10,227,154,1777,382,1084,46,0,0,Active
acdlite/flux-standard-action,142,145,130,3,101,35,104,539,43,18,0,0,Active
basho/riak,536,1096,942,12,590,477,3227,296,493,78,0,0,Active
AnalyticalGraphicsInc/cesium,3464,12174,10770,27,6224,5473,40906,1851,5220,298,1,0,Active
NLog/NLog,1374,5575,5504,0,2871,2402,6840,578,2202,182,1,0,Active
directus/directus,3835,17149,16622,25,8559,7481,12330,30,3154,432,0,0,Active
coreos/flannel,2871,2078,2042,7,956,745,1644,773,259,217,0,0,Active
cwRichardKim/RKNotificationHub,326,39,36,0,14,12,132,334,51,11,0,93,Active
heroku/react-refetch,140,270,219,17,117,90,648,441,292,65,0,0,Active
OfficeDev/office-ui-fabric-core,465,1275,1191,10,613,528,2427,488,783,61,0,0,Active
Tencent/GT,1027,94,25,2,3,3,74,313,34,5,0,0,Active
emberjs/data,1330,9515,9423,35,6472,5000,9170,417,1256,338,1,0,Active
thoughtbot/clearance,457,1031,998,7,559,368,1637,1164,452,155,0,0,Active
emqtt/emqttd,2227,13219,13010,46,9181,8201,23746,287,2513,126,0,0,Active
tonsky/datascript,305,477,400,9,153,88,775,477,596,68,0,596,Active
docker/docker-py,1668,3280,2791,79,1548,1164,3410,1281,1713,385,2,0,Active
RNCryptor/RNCryptor,519,308,300,1,59,42,557,884,480,28,0,0,Active
garris/BackstopJS,602,1584,1032,55,447,340,1588,113,481,159,0,1190,Active
picocms/Pico,614,700,686,4,165,81,901,188,707,36,0,17,Active
asciimoo/searx,1708,3204,2865,38,1441,1152,4583,1614,1239,159,0,0,Active
phan/phan,359,4881,3933,12,2099,2026,7276,1117,5361,107,0,0,Active
Studio-42/elFinder,1415,3468,3459,2,567,429,6877,609,4628,169,0,0,Active
nicolaskruchten/pivottable,1077,1359,977,18,107,52,771,1470,684,35,0,684,Active
mapbox/mapbox-gl-js,2216,13209,11924,32,5450,4624,11688,565,1621,348,0,0,Active
hybridauth/hybridauth,1126,1412,1326,20,637,538,1730,495,286,224,0,0,Active
adnanh/webhook,828,653,549,23,215,171,533,190,220,50,0,329,Active
Quick/Nimble,602,1142,1110,6,680,594,1947,772,482,116,0,0,Active
matrix-org/synapse,2128,16616,15086,65,9988,8988,23441,736,7432,376,1,0,Active
googlevr/gvr-android-sdk,1283,642,583,1,17,0,61,217,38,8,0,0,Active
