Repository,Forks,Total Issues,Closed Issues,Open PRs,Closed PRs,Merged PRs,Total Commits,Max Days Without Commit,Most Active Dev Commits,Contributors,Owner Projects,Owner Commits,Archived
wordpress-mobile/WordPress-Editor-iOS,210,911,755,1,238,227,1274,105,431,15,9,0,Archived
oakes/play-clj,72,112,103,1,31,25,808,505,754,11,0,774,Archived
AlexBarinov/UIBubbleTableView,232,90,27,12,11,5,36,391,26,4,0,0,Archived
desandro/classie,183,26,26,0,14,6,25,354,18,5,0,18,Archived
tjake/Solandra,150,188,129,3,32,17,443,103,352,8,0,239,Archived
oakes/SolidOak,60,69,52,0,13,8,300,199,278,8,0,290,Archived
timjansen/minified.js,69,8,7,1,7,3,618,317,388,4,0,615,Archived
Shopify/Timber,485,624,574,8,363,308,1287,470,1070,39,0,0,Archived
RaiMan/SikuliX-2014,235,309,246,2,78,67,2397,98,1737,20,0,1593,Archived
LeoNatan/LNNotificationsUI,115,56,56,0,20,10,66,172,47,9,0,26,Archived
RReverser/mpegts,155,39,36,0,5,4,137,609,89,4,0,130,Archived
puffnfresh/roy,74,206,142,2,58,48,508,73,328,29,0,328,Archived
brockallen/BrockAllen.MembershipReboot,238,709,683,0,104,64,853,141,743,31,0,743,Archived
customelements/www,61,544,536,1,68,47,491,250,353,26,0,0,Archived
heroku/hk,45,100,100,0,100,73,674,2177,342,28,0,0,Archived
YorickPeterse/ruby-lint,41,42,41,1,41,26,983,136,928,11,0,0,Archived
ztellman/lamina,57,95,95,0,55,39,704,128,416,18,0,633,Archived
sparkfun/phant,99,242,242,0,26,19,431,742,336,9,0,0,Archived
mattetti/googlecharts,108,88,54,6,26,8,148,437,62,22,0,62,Archived
sebastianbergmann/money,332,41,41,0,41,16,193,567,175,9,0,175,Archived
auth0/auth0-angular,58,652,641,10,474,383,486,152,135,24,1,0,Archived
n1k0/SublimeHighlight,105,80,47,4,24,23,72,726,51,10,0,51,Archived
rahatarmanahmed/CircularProgressView,194,43,40,0,13,8,66,580,48,8,0,48,Archived
integrity/integrity,173,296,288,0,154,121,2031,820,1031,69,0,0,Archived
cjohansen/juicer,47,83,62,3,17,15,395,247,303,15,0,212,Archived
ai212983/android-spinnerwheel,249,80,72,1,11,11,122,323,68,9,0,9,Archived
jupyter/colaboratory,111,129,129,0,40,34,340,585,147,15,0,0,Archived
pires/android-obd-reader,469,209,199,0,83,65,337,378,168,21,0,165,Archived
rgrove/larch,67,75,45,1,3,2,153,829,146,3,0,149,Archived
nicoulaj/idea-markdown,97,265,181,4,18,5,160,605,152,5,0,153,Archived
TheNewNormal/kube-solo-osx,29,183,162,1,99,96,310,148,139,12,0,0,Archived
CodaFi/AFNetworking-RACExtensions,130,20,18,2,18,15,92,481,35,10,0,58,Archived
rtomayko/replicate,59,43,28,9,25,20,173,1138,143,11,0,143,Archived
joomla/joomla-platform,298,1873,1873,0,1698,1242,5893,250,832,99,0,0,Archived
brunogaspar/laravel-starter-kit,181,21,21,0,21,11,3945,249,2862,171,0,207,Archived
shiguredo/packer-templates,174,33,33,0,33,26,89,175,21,14,0,0,Archived
IdentityServer/IdentityServer3.Samples,1251,350,338,6,49,25,645,230,324,24,0,0,Archived
krmaxwell/maltrieve,184,185,151,5,64,55,342,87,306,11,0,44,Archived
fommil/netlib-java,168,127,114,0,8,4,500,507,496,4,0,485,Archived
compose/governor,75,50,33,0,21,14,76,534,39,10,0,0,Archived
ztellman/automat,50,71,56,3,23,21,143,186,106,13,0,110,Archived
lballabio/quantlib-old,406,381,381,0,324,241,18714,266,6090,35,0,4455,Archived
lukeredpath/LRResty,56,43,19,5,1,1,247,553,241,2,0,123,Archived
lattera/glibc,948,4,4,0,4,0,33933,3463,14323,256,0,0,Archived
emberjs/list-view,116,254,254,0,124,95,448,461,172,45,1,0,Archived
MichaelDrogalis/dire,20,38,27,1,14,12,209,408,180,8,0,1,Archived
scottyab/AESCrypt-Android,192,26,17,0,4,2,13,566,11,2,0,8,Archived
mattetti/Weasel-Diesel,21,34,29,0,20,17,174,105,133,10,0,133,Archived
martinandert/react-inline,21,3,3,0,3,3,90,630,82,2,0,87,Archived
smashwilson/merge-conflicts,42,273,206,3,96,94,607,204,530,13,1,530,Archived
semperos/clj-webdriver,93,50,50,0,50,32,1057,172,1003,18,0,1003,Archived
osm2vectortiles/osm2vectortiles,149,509,435,10,159,147,1367,204,562,18,0,0,Archived
EFForg/privacybadgerfirefox-legacy,68,824,695,0,178,167,883,66,315,36,0,0,Archived
gmetais/grunt-devperf,7,27,27,0,5,3,110,537,107,4,0,107,Archived
rgrove/jsmin-php,128,19,14,0,4,3,24,588,13,5,0,13,Archived
codahale/metrics,48,16,16,0,10,9,43,288,31,10,0,31,Archived
IdentityServer/IdentityServer2,291,889,843,0,39,26,659,256,367,17,0,0,Archived
kasperisager/sails-generate-auth,67,51,51,0,51,35,149,100,79,23,0,96,Archived
JakeWharton/ActionBarSherlock,3536,1135,1044,6,247,84,1480,508,1308,49,0,1317,FSE
omab/django-social-auth,759,872,860,0,326,244,1613,408,1007,152,0,1007,FSE
cyrilmottier/GreenDroid,886,20,15,5,15,6,69,478,55,8,0,0,FSE
cameronmcefee/plax,206,74,56,1,36,29,140,648,92,20,0,2,FSE
kissyteam/kissy,863,745,711,2,114,54,5056,2723,3334,30,0,0,FSE
webpack/react-starter,320,115,83,9,42,28,127,53,77,19,0,0,FSE
leah/PullToRefresh,252,38,17,12,10,6,41,346,24,5,0,25,FSE
mojombo/grit,523,288,244,2,103,19,516,338,177,42,0,177,FSE
pakerfeldt/android-viewflow,695,110,61,3,25,18,120,287,55,11,0,77,FSE
Shougo/neocomplcache.vim,135,512,512,0,65,57,1948,2046,1571,32,0,1850,FSE
ylechelle/OpenUDID,436,73,39,10,11,6,50,263,44,5,0,44,FSE
flavienlaurent/datetimepicker,580,141,82,11,20,11,73,145,25,8,0,54,FSE
technoweenie/restful-authentication,275,33,6,4,2,0,223,781,71,23,0,40,FSE
Automattic/expect.js,208,175,86,33,60,21,78,270,47,18,4,0,FSE
aanand/git-up,148,121,84,6,36,20,138,411,104,14,0,104,FSE
josevalim/inherited_resources,392,934,931,1,623,430,1068,1318,231,98,0,0,FSE
