Feature,Correlation with Status
Owner Commits,0.21455977454060599
Max Days Without Commit,0.15360782933755554
Owner Projects,-0.06676231663968672
Most Active Dev Commits,-0.3023564841500415
Open PRs,-0.30640809972618577
Total Commits,-0.31189413175707364
Merged PRs,-0.3190661844733085
Closed PRs,-0.322661260263526
Forks,-0.3319302833229632
Closed Issues,-0.35188903624196005
Total Issues,-0.3709329612005596
Contributors,-0.45503149829626344
